Spicejet	SG - 159	21:10	23:25	02h 15m	 Rs.4,725	2015-04-26 16:58:50.877281	Yatra 	26/04/2015
Spicejet	SG - 153	07:35	09:45	02h 10m	 Rs.4,725	2015-04-26 16:58:50.877281	Yatra 	03/05/2015
Indigo	6E - 171	05:30	07:45	02h 15m	 Rs.4,174	2015-04-26 16:58:50.877281	Yatra 	10/05/2015
Vistara	UK - 943	07:25	09:40	02h 15m	 Rs.4,558	2015-04-26 16:58:50.877281	Yatra 	17/05/2015
Vistara	UK - 943	07:25	09:40	02h 15m	 Rs.4,558	2015-04-26 16:58:50.877281	Yatra 	24/05/2015
Go Air	G8 - 342	20:50	23:00	02h 10m	 Rs.4,899	2015-04-26 16:58:50.877281	Yatra 	31/05/2015
Indigo	6E - 183	06:30	08:35	02h 05m	 Rs.4,358	2015-04-26 16:58:50.877281	Yatra 	07/06/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,330	2015-04-26 16:58:50.877281	Yatra 	14/06/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,330	2015-04-26 16:58:50.877281	Yatra 	21/06/2015
Go Air	G8 - 330	07:05	09:10	02h 05m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	28/06/2015
Go Air	G8 - 330	07:05	09:10	02h 05m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	05/07/2015
Go Air	G8 - 330	07:05	09:10	02h 05m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	12/07/2015
Go Air	G8 - 330	07:05	09:10	02h 05m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	19/07/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	26/07/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	02/08/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	09/08/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	16/08/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	23/08/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	30/08/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	06/09/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	13/09/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	20/09/2015
Air India	AI - 349	03:15	05:25	02h 10m	 Rs.3,006	2015-04-26 16:58:50.877281	Yatra 	27/09/2015
Go Air	G8 - 330	07:05	09:10	02h 05m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	04/10/2015
Go Air	G8 - 330	07:05	09:10	02h 05m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	11/10/2015
Go Air	G8 - 330	07:05	09:10	02h 05m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	18/10/2015
Go Air	G8 - 330	07:05	09:05	02h 00m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	25/10/2015
Go Air	G8 - 330	07:05	09:05	02h 00m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	01/11/2015
Go Air	G8 - 330	07:05	09:05	02h 00m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	08/11/2015
Air India	AI - 349	04:00	06:15	02h 15m	 Rs.4,009	2015-04-26 16:58:50.877281	Yatra 	15/11/2015
Spicejet	SG - 153	07:35	09:45	02h 10m	 Rs.3,800	2015-04-26 16:58:50.877281	Yatra 	22/11/2015
Go Air	G8 - 330	07:05	09:05	02h 00m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	29/11/2015
Go Air	G8 - 330	07:05	09:05	02h 00m	 Rs.3,044	2015-04-26 16:58:50.877281	Yatra 	06/12/2015
